                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.80728,                0.32183,                 1.0717,                 0.9598,                0.98083,                0.99141,                 0.7389,                0.99156,                0.35578,                 1.2131,               0.000317,               0.000317,               0.000317
                     87,                0.79313,                0.31763,                 1.0642,                0.96108,                0.97887,                0.99141,                0.73962,                 0.9781,                0.35065,                 1.2038,              0.0002972,              0.0002972,              0.0002972
                     88,                0.82172,                0.32245,                 1.0755,                0.97295,                0.97111,                0.99137,                0.72981,                 1.0052,                0.35593,                 1.2134,              0.0002774,              0.0002774,              0.0002774
                     89,                0.78361,                0.31298,                 1.0638,                0.97162,                0.96435,                0.99067,                0.74206,                0.97351,                0.34758,                 1.1898,              0.0002576,              0.0002576,              0.0002576
                     90,                0.79833,                0.30513,                 1.0633,                0.95967,                0.97761,                0.98428,                0.72444,                0.98599,                0.36014,                 1.2059,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.7768,                0.29615,                 1.0549,                0.96141,                0.97418,                0.99087,                0.73141,                0.98332,                0.35593,                 1.1976,               0.000218,               0.000218,               0.000218
                     92,                0.76999,                0.29216,                 1.0474,                0.96007,                0.98005,                0.99112,                0.73216,                0.97977,                0.35165,                 1.1943,              0.0001982,              0.0001982,              0.0001982
                     93,                0.76834,                0.29554,                 1.0442,                0.96715,                 0.9777,                0.99087,                0.73537,                0.98012,                0.35044,                 1.1966,              0.0001784,              0.0001784,              0.0001784
                     94,                0.76235,                0.28898,                 1.0379,                0.96856,                0.97613,                0.99095,                0.72955,                 1.0022,                  0.354,                  1.214,              0.0001586,              0.0001586,              0.0001586
                     95,                0.75541,                0.29029,                 1.0387,                0.96407,                0.97615,                0.99087,                 0.7338,                0.99328,                0.34866,                 1.2068,              0.0001388,              0.0001388,              0.0001388
                     96,                0.75878,                0.28986,                 1.0541,                0.95688,                0.97066,                0.98992,                0.73665,                0.98735,                0.35142,                 1.2108,               0.000119,               0.000119,               0.000119
                     97,                0.75142,                0.28453,                 1.0404,                0.95307,                 0.9777,                 0.9898,                0.73915,                0.98915,                0.35355,                 1.2162,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.74816,                0.28202,                 1.0407,                0.96197,                0.97963,                0.99118,                0.74501,                 0.9864,                0.34533,                  1.212,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.74636,                0.28205,                 1.0284,                0.96717,                0.97653,                0.99123,                0.74198,                0.99026,                0.34495,                  1.215,               5.96e-05,               5.96e-05,               5.96e-05
